error_00,error_01,error_02,error_03,error_04,error_05,error_06,error_07,mean_absolute_error,iterations,learning_rate,hidden_neurons
0.0003308316570744818,-0.06474436174949888,-0.10463198548330858,0.02497946698788256,0.7339421896423104,-0.13893178290851918,-0.38349645687377204,-0.5457047189481762,0.2495952242813178,20000,0.1,12
0.00023467062640358805,-0.1515864847063883,-0.2054719510409865,0.0264715738425233,0.5987870488171165,-0.29550515325650056,-0.4200923595793796,-0.6220552685553554,0.2900255638030817,20000,0.1,12
0.000681699037352379,-0.08370357650781635,-0.16267997907723128,0.058289863473949044,0.6536650722459136,-0.11769953263812549,-0.5578231265989965,-0.684918199808022,0.2899326311734258,20000,0.1,12
0.0009587523886485094,-0.024830115464984065,-0.042269398468871726,0.0009667975893892233,0.5809547444457701,-0.08381551850517242,-0.4340250792144254,-0.4837506218022854,0.20644637848494335,20000,0.18,12
1.2507252975524352e-06,-0.02577080202302486,-0.04549996389851971,0.004296114850577126,0.3186027145334789,-0.27155220728843954,-0.43060238894872277,-0.730197871387273,0.22831541420691667,20000,0.18,12
7.728382598326533e-07,-0.00045552783184716884,-0.002219527057996061,2.514109425366673e-05,0.4826846450521949,-0.012963272305584118,-0.6412918986123645,-0.7108883901861198,0.23131614687232752,50000,0.18,12
1.7879871793136104e-06,-0.0001784238788444508,-0.0005279664524179458,0.0007166814109632602,0.705943205612822,-0.007060469278407483,-0.21772472928690326,-0.7271970468594707,0.20741878884587606,50000,0.18,12
0.008149987522468427,-0.1320703538441434,-0.14123661459549902,0.07097216141435092,0.8462188070687724,-0.23814403564404354,-0.20893773771000365,-0.5802146304442094,0.27824304103043634,5000,0.18,16
0.0035442285689968323,-0.3877547265491957,-0.39715728210868645,0.024622004509614714,0.6124999813568228,-0.5679955960892665,-0.48192207550412436,-0.7874019893617206,0.4078622355060535,5000,0.18,16
8.484013699838755e-05,-0.09021941807423578,-0.12122432773402841,0.0066907182354858374,0.5925863067606933,-0.2051640454407922,-0.31473413277459894,-0.441707582018219,0.2215514213968815,10000,0.18,16
