error_00,error_01,error_10,error_11,mean_absolute_error,iterations,learning_rate
-0.542473936935215,0.5172909877588101,0.450802968341228,-0.5186839675219572,0.5073129651393026,1000,0.02
-0.4198351871345368,0.5124444205173859,0.43436876307373895,-0.6066239518320982,0.49331808063944,1000,0.02
-0.4841455599477673,0.5314547362390446,0.4901427536324122,-0.4938843783387002,0.49990685703948107,1000,0.05
-0.5703563714657353,0.5669896078251002,0.39917303959902073,-0.4394003298025331,0.4939798371730973,1000,0.05
-0.47049739775176785,0.6254809003240487,0.40106035532101025,-0.38519327724080193,0.4705579826594072,1000,0.1
-0.5559533603924707,0.49929434977280507,0.47763170299859703,-0.45387139140131344,0.49668770114129657,1000,0.1
-0.4022671315691854,0.5296358196128779,0.48491211332777884,-0.5204221137013729,0.48430929455280375,1000,0.2
-0.47149277440164755,0.374764546787539,0.4728589894587407,-0.5920863652093251,0.4778006689643131,1000,0.2
-0.3966602928482282,0.20043009760901842,0.19507226521044563,-0.2675415739416428,0.26492605740233377,1000,0.5
-0.3057695260897016,0.6234222100599228,0.4039737892833578,-0.4153951439408794,0.4371401673434654,1000,0.5
-0.15922640439854535,0.11473688709718355,0.13251629014480715,-0.3412736251055086,0.18693830168651115,1000,0.75
-0.15018696900232603,0.06069860614120215,0.34456264337977116,-0.6790483139164404,0.308624133109935,1000,0.75
-0.08131639106032738,0.18092340180501087,0.3064071621664789,-0.19161373623135963,0.19006517281579421,1000,0.9
-0.08539692346312107,0.08704476131930317,0.08587969405911788,-0.09917081342353365,0.08937304806626895,1000,0.9
-0.07025246891703456,0.06963683439350588,0.07823935733239862,-0.06309997481570509,0.07030715886466105,1000,1.0
-0.10703957007858747,0.10114923621237748,0.13582520530227815,-0.17315430410474947,0.12929207892449812,1000,1.0
-0.06280852462294238,0.05709391928353624,0.057413564016830954,-0.054402084689276924,0.05792952315314663,1000,1.2
-0.07258635046333685,0.08073351790438232,0.06335543668679045,-0.05937928900414096,0.06901364851466264,1000,1.2
-0.14257977628700128,0.31234819533975255,0.29442319026018227,-0.6297972463556798,0.344787102060654,1000,1.1
-0.3241033253172798,0.1564225023990644,0.13362173611821648,-0.18513283281998621,0.19982009916363674,1000,1.1
-0.0685103400167062,0.07552284010417587,0.047020873567052646,-0.08853228585048667,0.06989658488460535,1000,1.3
-0.05656711375212434,0.06561221883752455,0.06619116593878871,-0.06193062463085487,0.06257528078982312,1000,1.3
-0.059849494581970926,0.06279151492783808,0.0512759318018593,-0.05283430809804879,0.05668781235242927,1000,1.5
-0.05366411086175607,0.07626835050143432,0.11197489130144855,-0.08671542414728296,0.08215569420298048,1000,1.5
-0.2462701159362184,0.2292942347778466,0.16882511279081758,-0.2228216538910769,0.21680277934898987,1000,0.6
